Rank,Name,Team,Sort,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
227,최채흥,24 P,6.69,14,6.3,5.4,1.17,1.8,14.6,12.5,2.1,0.313,70.0,6.3,6.75,7.45,7.37,6.69,4.44,5.15,-0.39,121.0,128.38,130.56,0.3,0.383,0.538,0.921,359,25.6,18.0,3.74
228,서의태,24 P,6.7,11,8.22,9.39,0.88,1.17,20.6,23.5,-2.9,0.222,41.7,9.39,9.39,8.57,8.78,6.7,5.19,5.75,2.69,194.3,164.72,140.95,0.192,0.382,0.346,0.728,149,13.5,19.4,4.38
229,박종훈,24 P,6.72,10,8.74,5.4,1.62,1.8,20.7,12.8,7.9,0.319,67.9,6.94,7.2,6.71,6.68,6.72,4.43,4.45,0.22,135.39,118.15,133.16,0.276,0.402,0.485,0.887,662,66.2,18.9,4.04
230,김인범,24 P,6.73,19,3.84,4.41,0.87,1.28,9.1,10.4,-1.3,0.3,73.3,5.4,5.68,5.58,5.77,6.73,5.18,5.56,-1.33,114.91,111.26,145.61,0.294,0.386,0.439,0.825,1129,59.4,17.8,3.8
231,김연주,24 P,6.74,34,5.17,4.88,1.06,1.44,12.2,11.5,0.7,0.282,65.3,6.61,6.89,7.04,7.43,6.74,4.97,5.32,-0.13,140.58,143.31,145.74,0.272,0.378,0.472,0.85,576,16.9,18.4,3.89
232,이형범,24 P,6.77,16,5.4,4.2,1.29,1.2,10.8,8.4,2.4,0.4,60.0,7.8,10.2,9.48,9.66,6.77,5.28,5.11,1.03,158.2,177.63,139.46,0.371,0.458,0.514,0.972,296,18.5,19.7,3.57
233,최우석,24 P,6.78,9,8.31,6.23,1.33,2.08,21.6,16.2,5.4,0.238,100.0,3.12,3.12,4.36,4.59,6.78,4.14,4.75,-3.67,64.46,86.19,142.64,0.226,0.351,0.484,0.835,139,15.4,16.0,3.76
234,백승현,24 P,6.9,36,4.73,7.43,0.64,1.01,10.4,16.3,-5.9,0.33,54.7,9.11,9.45,8.64,8.92,6.9,5.7,6.11,2.21,191.19,169.78,147.1,0.314,0.432,0.467,0.899,536,14.9,20.1,3.97
235,이호성,24 P,6.95,16,5.6,5.2,1.08,1.8,12.5,11.6,0.9,0.365,67.9,7.4,7.8,7.84,7.39,6.95,4.73,5.29,0.45,142.12,128.64,135.7,0.351,0.425,0.574,0.999,952,59.5,21.2,4.25
236,박윤성,24 P,7.01,17,6.75,4.34,1.56,2.41,17.3,11.1,6.2,0.173,68.8,5.79,5.79,6.46,6.62,7.01,3.95,4.66,-1.22,123.11,127.81,151.51,0.2,0.288,0.486,0.774,301,17.7,16.1,3.72
237,윤호솔,24 P,7.04,7,10.39,16.62,0.63,0.0,20.8,33.3,-12.5,0.364,83.3,4.15,4.15,3.43,3.44,7.04,7.16,6.9,-2.88,87.15,65.41,150.05,0.25,0.5,0.25,0.75,109,15.6,25.2,4.54
238,홍원표,24 P,7.04,4,7.11,8.53,0.83,1.42,17.9,21.4,-3.6,0.188,77.8,4.26,4.26,5.97,5.43,7.04,5.27,5.83,-2.78,81.88,94.49,137.43,0.2,0.357,0.4,0.757,112,28.0,17.7,4.0
239,김민규,24 P,7.06,13,6.84,6.84,1.0,1.44,16.2,16.2,0.0,0.271,80.0,4.32,5.04,4.37,4.3,7.06,5.28,5.4,-2.74,90.64,81.84,150.43,0.247,0.397,0.495,0.892,452,34.8,18.1,3.86
240,전준표,24 P,7.09,18,5.86,6.51,0.9,1.3,12.5,13.9,-1.4,0.32,59.3,6.83,9.11,8.78,8.93,7.09,5.48,5.57,-0.26,145.36,172.22,153.41,0.294,0.417,0.429,0.846,570,31.7,20.6,3.96
241,김도윤,24 P,7.11,2,3.86,7.71,0.5,0.0,8.3,16.7,-8.3,0.25,60.0,3.86,7.71,7.71,8.32,7.11,7.25,6.4,-3.26,80.93,158.2,151.67,0.222,0.417,0.333,0.75,44,22.0,18.9,3.67
242,이종민,24 P,7.22,12,4.33,4.53,0.95,1.86,9.9,10.4,-0.5,0.305,62.9,7.63,8.04,7.44,7.72,7.22,4.91,5.46,0.4,162.27,148.91,156.23,0.313,0.393,0.542,0.935,754,62.8,17.3,3.56
243,김도규,24 P,7.27,5,11.25,13.5,0.83,0.0,20.0,24.0,-4.0,0.417,69.2,9.0,9.0,7.43,8.06,7.27,7.41,5.88,1.73,173.41,140.89,142.44,0.333,0.52,0.4,0.92,92,18.4,23.0,3.68
244,김윤수,24 P,7.33,4,3.38,11.81,0.29,0.0,7.7,26.9,-19.2,0.375,53.8,10.13,10.13,11.31,10.93,7.33,7.43,7.71,2.79,194.46,190.31,143.08,0.375,0.52,0.375,0.895,105,26.3,19.7,4.04
245,임준섭,24 P,7.37,24,2.38,8.74,0.27,0.0,5.4,19.6,-14.3,0.308,57.7,7.94,8.74,7.11,6.62,7.37,7.45,7.11,0.57,153.01,115.6,144.25,0.286,0.464,0.381,0.845,233,9.7,20.6,4.16
246,양현,24 P,7.37,18,6.92,3.46,2.0,2.77,15.6,7.8,7.8,0.395,76.2,7.62,7.62,7.17,6.71,7.37,3.84,4.46,0.25,146.26,116.89,143.82,0.375,0.429,0.625,1.054,242,13.4,18.6,3.78
247,한차현,24 P,7.4,10,8.05,8.53,0.94,1.9,16.5,17.5,-1.0,0.391,61.0,9.95,10.42,9.33,9.4,7.4,5.03,5.52,2.54,197.1,168.81,149.1,0.345,0.456,0.56,1.016,429,42.9,22.6,4.17
248,유지성,24 P,7.41,3,11.57,0.0,,3.86,21.4,0.0,21.4,0.444,40.0,7.71,15.43,10.8,10.82,7.41,2.4,2.83,0.3,156.46,199.0,152.81,0.385,0.429,0.615,1.044,51,17.0,21.9,3.64
249,정지헌,24 P,7.42,17,8.03,8.03,1.0,1.46,15.9,15.9,0.0,0.405,50.0,11.68,13.14,11.42,11.87,7.42,5.61,5.4,4.26,244.96,225.81,158.17,0.352,0.478,0.5,0.978,272,16.0,22.1,3.94
250,김범수,24 P,7.44,39,10.06,5.29,1.9,2.91,24.2,12.7,11.5,0.268,88.4,5.29,5.29,6.64,6.53,7.44,3.68,4.02,-2.15,107.1,119.73,153.03,0.254,0.372,0.523,0.895,669,17.2,19.7,4.26
251,문용익,24 P,7.48,12,9.0,11.65,0.77,1.06,17.2,22.2,-5.1,0.382,45.5,12.18,14.29,15.11,15.15,7.48,6.18,6.01,4.7,241.27,272.25,150.53,0.315,0.48,0.452,0.932,377,31.4,22.2,3.81
252,이의리,24 P,7.51,4,9.45,9.45,1.0,2.03,20.3,20.3,0.0,0.368,77.8,5.4,6.75,6.75,6.9,7.51,4.94,5.4,-2.11,109.52,126.88,154.73,0.309,0.449,0.527,0.976,288,72.0,21.6,4.17
253,박명근,24 P,7.57,33,4.62,4.26,1.08,2.13,10.8,10.0,0.8,0.274,66.7,6.39,7.11,7.34,7.79,7.57,4.89,5.3,-1.18,134.17,148.25,161.41,0.287,0.373,0.505,0.878,446,13.5,17.6,3.72
254,성동현,24 P,7.6,2,4.5,13.5,0.33,0.0,12.5,37.5,-25.0,0.0,100.0,0.0,0.0,0.0,0.0,7.6,7.6,8.4,-7.6,0.0,0.0,162.03,0.0,0.375,0.0,0.375,36,18.0,18.0,4.5
255,윤석원,24 P,7.72,11,0.52,3.64,0.14,1.56,1.1,8.0,-6.8,0.378,44.4,11.42,12.46,12.57,12.91,7.72,5.85,6.22,3.7,243.07,249.15,167.03,0.413,0.46,0.68,1.14,321,29.2,18.5,3.65
256,이채호,24 P,7.75,9,6.75,4.05,1.67,2.7,13.5,8.1,5.4,0.423,71.4,9.45,9.45,9.45,9.51,7.75,4.34,4.75,1.7,187.24,170.78,156.14,0.406,0.459,0.656,1.115,151,16.8,22.7,4.08
257,이인복,24 P,7.79,8,5.46,3.55,1.54,2.73,12.6,8.2,4.4,0.348,58.8,9.55,9.55,9.83,9.35,7.79,4.31,4.87,1.75,183.92,163.29,152.6,0.358,0.411,0.679,1.09,580,72.5,17.6,3.65
258,이건욱,24 P,7.87,10,8.05,7.11,1.13,2.37,16.0,14.2,1.9,0.433,59.1,11.37,11.84,11.51,11.46,7.87,4.88,5.17,3.5,221.69,202.67,155.92,0.386,0.481,0.602,1.083,445,44.5,23.4,4.2
259,배재환,24 P,7.94,20,5.95,6.86,0.87,2.29,14.3,16.5,-2.2,0.268,64.3,7.32,7.78,7.55,7.56,7.94,5.04,5.66,-0.61,151.49,141.87,166.87,0.274,0.393,0.507,0.9,388,19.4,19.7,4.26
260,김대호,24 P,8.1,1,2.25,4.5,0.5,2.25,4.5,9.1,-4.5,0.333,37.5,11.25,13.5,13.5,13.55,8.1,5.3,5.95,3.15,216.07,235.89,158.08,0.35,0.409,0.6,1.009,87,87.0,21.8,3.95
261,육선엽,24 P,8.15,11,5.82,9.0,0.65,1.59,12.6,19.5,-6.9,0.296,79.4,5.29,5.82,6.64,6.46,8.15,6.19,6.23,-2.85,101.68,112.56,159.0,0.284,0.437,0.448,0.885,355,32.3,20.9,4.08
262,정우준,24 P,8.16,8,5.4,7.56,0.71,2.16,12.5,17.5,-5.0,0.308,92.9,4.32,4.32,7.13,6.76,8.16,5.42,6.0,-3.84,83.24,118.16,159.77,0.303,0.425,0.545,0.97,145,18.1,17.4,3.63
263,신영우,24 P,8.24,4,5.79,14.46,0.4,0.0,11.5,28.8,-17.3,0.333,57.7,10.61,10.61,9.79,9.54,8.24,8.34,7.48,2.37,219.46,178.97,173.22,0.29,0.52,0.387,0.907,200,50.0,21.4,3.85
264,배민서,24 P,8.28,1,5.4,16.2,0.33,0.0,9.1,27.3,-18.2,0.571,57.1,16.2,16.2,16.2,16.17,8.28,8.36,7.58,7.92,327.73,296.64,170.21,0.5,0.636,0.625,1.261,41,41.0,24.6,3.73
265,백승건,24 P,8.4,10,4.82,8.68,0.56,1.93,9.8,17.6,-7.8,0.314,68.4,7.71,8.68,10.66,10.05,8.4,5.98,6.34,-0.68,150.44,177.73,166.45,0.317,0.431,0.512,0.943,203,20.3,21.8,3.98
266,이승민,24 P,8.4,25,4.37,4.94,0.88,2.66,9.7,11.0,-1.3,0.333,65.0,8.56,9.13,8.6,8.27,8.4,5.02,5.55,0.15,164.33,144.02,164.02,0.343,0.422,0.594,1.016,920,36.8,19.4,3.88
267,김동혁,24 P,8.59,17,3.63,4.03,0.9,2.82,8.8,9.8,-1.0,0.274,62.1,6.85,8.46,9.57,9.86,8.59,5.0,5.52,-1.74,145.78,190.18,185.7,0.318,0.386,0.647,1.033,418,24.6,18.7,4.1
268,김택형,24 P,8.64,6,1.29,7.71,0.17,1.29,2.7,16.2,-13.5,0.321,62.5,9.0,9.0,7.91,7.9,8.64,7.05,7.02,0.36,175.51,139.65,171.27,0.333,0.459,0.467,0.926,130,21.7,18.6,3.51
269,이명종,24 P,8.74,10,3.27,4.09,0.8,3.27,6.9,8.6,-1.7,0.364,78.9,8.18,8.18,10.88,11.51,8.74,4.6,5.61,-0.56,174.1,222.03,189.1,0.408,0.439,0.694,1.133,219,21.9,19.9,3.78
270,목지훈,24 P,8.82,3,3.0,10.0,0.3,1.0,5.8,19.2,-13.5,0.389,57.7,12.0,12.0,11.15,11.79,8.82,7.63,7.02,3.18,248.28,221.24,185.48,0.375,0.519,0.6,1.119,215,71.7,23.9,4.13
