,Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR.1,image_url,team,player_id
158,159,오승환,24 P,0.09,58,0,58,42,0,0,3,9,27,2,55.0,30,36,40.35,262,75,17,2,9,18,3,3,42,3,0,5,4.91,5.89,6.6,6.17,5.31,1.69,0.09,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,10367
159,160,정우영,24 P,0.09,27,0,27,2,0,0,2,1,0,3,22.2,12,15,15.0,108,31,6,0,0,11,6,0,17,1,0,3,4.76,5.96,5.96,6.38,4.65,1.85,0.09,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14136
160,161,박윤성,24 P,0.09,17,0,17,7,0,0,0,0,0,1,18.2,12,12,13.4,81,14,5,0,5,9,0,0,14,2,0,2,5.79,5.79,6.46,6.62,7.01,1.23,0.09,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,15475
161,162,김진수,24 P,0.09,7,0,7,3,0,0,0,1,0,0,13.1,10,10,9.15,58,17,2,0,3,4,0,0,6,0,0,0,6.75,6.75,6.18,6.15,6.68,1.58,0.09,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14781
162,163,홍원표,24 P,0.08,4,0,4,4,0,0,0,0,0,0,6.1,3,3,4.2,28,4,1,0,1,6,0,0,5,0,0,0,4.26,4.26,5.97,5.43,7.04,1.58,0.08,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,14614
163,164,성동현,24 P,0.08,2,0,2,1,0,0,0,0,0,0,2.0,0,0,0.0,8,0,0,0,0,3,0,0,1,0,0,0,0.0,0.0,0.0,0.0,7.6,1.5,0.08,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,13103
164,165,최성훈,24 P,0.08,28,0,28,0,0,0,0,1,0,3,13.0,10,10,9.3,61,14,1,0,1,9,1,1,10,0,0,2,6.92,6.92,6.44,6.07,5.34,1.77,0.08,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,10851
165,166,김범수,24 P,0.08,39,0,39,6,0,0,0,0,0,4,34.0,20,20,25.1,157,33,2,0,11,20,5,1,38,2,0,3,5.29,5.29,6.64,6.53,7.44,1.56,0.08,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,11411
166,167,이민석,24 P,0.07,18,5,13,5,0,0,0,2,0,1,31.0,25,27,25.6,153,38,5,3,3,25,2,0,20,1,0,1,7.26,7.84,7.43,7.14,6.44,2.03,0.07,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,15045
167,168,이의리,24 P,0.07,4,4,0,0,0,0,1,0,0,0,13.1,8,10,10.0,69,17,3,0,3,14,0,0,14,1,0,0,5.4,6.75,6.75,6.9,7.51,2.33,0.07,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,14788
168,169,김기훈,24 P,0.06,17,0,17,4,0,0,1,0,0,0,19.2,11,13,14.6,95,16,4,1,1,15,3,0,17,3,1,1,5.03,5.95,6.68,6.71,5.48,1.58,0.06,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,14176
