Rank,Name,Team,Sort,K%,BB%,BB/K,BABIP,IsoP,IsoD,R/ePA,wOBA,wRC,RC27,Own%,wRC+
83,박성한,24 SS,104.0,15.2,11.3,0.74,0.343,0.11,0.079,0.145,0.362,81.1,6.0,23.7,104.0
84,이주형,24 RF,103.6,22.2,9.1,0.41,0.33,0.136,0.086,0.133,0.35,71.6,5.49,20.7,103.6
85,정준재,24 2B,103.2,20.4,7.9,0.39,0.394,0.098,0.064,0.143,0.361,34.4,5.8,22.6,103.2
86,최원영,24 LF,102.6,17.1,2.4,0.14,0.31,0.135,0.071,0.134,0.35,5.5,4.77,16.5,102.6
87,오태곤,24 1B,102.4,25.3,10.8,0.42,0.351,0.174,0.08,0.143,0.36,41.1,5.67,21.8,102.4
88,최인호,24 LF,102.2,12.7,10.2,0.81,0.324,0.109,0.081,0.139,0.356,33.8,5.74,22.2,102.2
89,박계범,24 2B,102.1,35.0,25.0,0.71,0.375,0.067,0.2,0.135,0.352,2.7,5.2,19.0,102.1
90,추신수,24 DH,102.0,22.5,12.3,0.54,0.355,0.122,0.092,0.143,0.36,42.5,5.95,23.5,102.0
91,문상철,24 1B,101.7,21.3,11.2,0.52,0.292,0.179,0.095,0.139,0.356,56.1,5.59,21.3,101.7
92,김헌곤,24 LF,101.0,16.1,7.1,0.44,0.341,0.132,0.056,0.142,0.359,43.6,5.66,21.7,101.0
93,홍성호,24 1B,100.8,46.7,6.7,0.14,0.571,0.143,0.047,0.129,0.345,1.9,5.23,19.1,100.8
94,이형종,24 RF,100.7,21.4,17.5,0.81,0.254,0.147,0.144,0.128,0.344,16.2,5.32,19.7,100.7
95,정수빈,24 CF,100.2,11.8,11.7,0.99,0.319,0.077,0.092,0.131,0.348,79.4,5.31,19.6,100.2
96,김민수,24 C,99.8,12.5,0.0,0.0,0.167,0.375,0.0,0.136,0.353,1.1,4.9,17.2,99.8
97,이우성,24 1B,99.8,19.8,9.8,0.49,0.349,0.113,0.073,0.134,0.351,60.3,5.34,19.8,99.8
98,최정원,24 CF,99.0,21.9,11.0,0.5,0.367,0.062,0.095,0.131,0.347,20.3,5.42,20.3,99.0
99,김영웅,24 3B,97.8,30.5,8.8,0.29,0.314,0.233,0.069,0.137,0.354,69.2,5.33,19.8,97.8
100,신본기,24 SS,97.6,18.4,10.5,0.57,0.333,0.098,0.092,0.135,0.352,20.5,5.43,20.3,97.6
101,최재훈,24 C,96.6,16.7,9.5,0.57,0.304,0.079,0.114,0.131,0.348,45.6,5.31,19.6,96.6
102,박병호,24 1B,96.6,29.8,11.6,0.39,0.279,0.218,0.102,0.135,0.351,54.7,5.2,18.9,96.6
103,맥키넌,24 1B,96.5,10.5,12.4,1.18,0.319,0.092,0.087,0.135,0.352,42.1,5.66,21.7,96.5
104,양찬열,24 RF,96.2,8.3,33.3,4.0,0.143,0.0,0.292,0.122,0.337,1.5,5.63,21.5,96.2
105,박찬호,24 SS,95.7,7.6,8.3,1.09,0.324,0.079,0.056,0.129,0.345,74.3,5.12,18.5,95.7
106,황영묵,24 2B,95.1,14.4,8.0,0.55,0.351,0.071,0.064,0.129,0.345,50.2,5.2,18.9,95.1
107,김휘집,24 SS,95.0,21.2,9.3,0.44,0.305,0.152,0.079,0.125,0.341,70.1,4.82,16.7,95.0
108,정훈,24 1B,94.9,19.4,10.8,0.56,0.309,0.165,0.076,0.133,0.349,43.2,5.34,19.8,94.9
109,이정훈,24 DH,94.9,18.1,11.2,0.62,0.37,0.08,0.074,0.133,0.35,15.4,5.41,20.2,94.9
110,김성진,24 1B,94.7,25.0,6.3,0.25,0.3,0.2,0.046,0.123,0.339,2.0,4.43,14.5,94.7
111,하주석,24 SS,94.7,21.9,6.6,0.3,0.379,0.102,0.057,0.127,0.344,19.2,5.09,18.3,94.7
112,배정대,24 CF,94.1,24.1,10.6,0.44,0.359,0.119,0.08,0.129,0.346,61.2,5.16,18.7,94.1
113,서호철,24 3B,93.3,17.8,5.3,0.3,0.337,0.108,0.057,0.123,0.339,69.9,4.8,16.6,93.3
114,문현빈,24 2B,93.2,18.3,8.3,0.45,0.328,0.135,0.063,0.126,0.342,36.4,4.79,16.6,93.2
115,최지훈,24 CF,92.2,13.1,9.2,0.7,0.303,0.143,0.07,0.128,0.344,69.2,5.08,18.2,92.2
116,고종욱,24 LF,92.0,16.7,11.1,0.67,0.28,0.156,0.083,0.122,0.338,4.4,4.58,15.4,92.0
117,장진혁,24 CF,91.6,22.0,8.9,0.4,0.321,0.149,0.072,0.125,0.34,40.8,4.77,16.4,91.6
118,천재환,24 RF,91.5,22.0,5.5,0.25,0.352,0.121,0.051,0.121,0.337,28.6,4.62,15.6,91.5
119,김상수,24 SS,91.5,14.0,8.8,0.63,0.319,0.103,0.075,0.126,0.342,52.8,4.93,17.4,91.5
120,김준태,24 C,91.3,20.0,16.7,0.83,0.316,0.08,0.127,0.122,0.338,3.7,5.21,19.0,91.3
121,한유섬,24 RF,89.3,27.2,8.8,0.32,0.282,0.218,0.079,0.125,0.341,64.9,4.84,16.8,89.3
122,박정우,24 CF,89.2,20.3,5.8,0.29,0.392,0.077,0.04,0.121,0.336,8.3,4.59,15.4,89.2
123,홍종표,24 2B,89.0,27.0,5.2,0.19,0.419,0.095,0.044,0.12,0.336,13.8,4.73,16.2,89.0
124,김규성,24 3B,88.3,26.7,13.3,0.5,0.375,0.083,0.107,0.119,0.334,1.8,4.8,16.6,88.3
125,이유찬,24 3B,87.9,19.5,8.4,0.43,0.346,0.087,0.064,0.115,0.33,29.9,4.24,13.5,87.9
126,김기연,24 C,86.7,16.6,7.8,0.47,0.32,0.099,0.059,0.113,0.328,32.0,4.4,14.4,86.7
127,박준영,24 SS,86.6,27.4,9.9,0.36,0.287,0.183,0.087,0.114,0.329,24.1,4.38,14.2,86.6
128,박승욱,24 SS,86.4,25.6,10.0,0.39,0.355,0.103,0.089,0.121,0.336,56.6,4.82,16.7,86.4
129,박해민,24 CF,86.1,18.3,8.3,0.46,0.317,0.096,0.073,0.112,0.327,61.7,4.32,13.9,86.1
130,최주환,24 1B,86.1,16.9,8.6,0.51,0.288,0.133,0.068,0.111,0.325,60.2,4.28,13.7,86.1
131,김태군,24 C,85.3,8.9,4.4,0.5,0.268,0.119,0.064,0.115,0.33,31.0,4.2,13.3,85.3
132,오재일,24 1B,84.9,25.7,10.5,0.41,0.296,0.179,0.078,0.118,0.333,40.3,4.54,15.1,84.9
133,박한결,24 LF,84.6,40.8,8.5,0.21,0.172,0.338,0.069,0.11,0.325,7.8,3.9,11.7,84.6
134,천성호,24 2B,84.6,16.9,7.1,0.42,0.356,0.073,0.051,0.116,0.331,29.5,4.63,15.7,84.6
135,박세혁,24 C,82.4,25.1,8.2,0.33,0.362,0.081,0.073,0.108,0.323,18.5,4.23,13.4,82.4
136,조대현,24 C,81.4,26.7,6.7,0.25,0.44,0.055,0.044,0.113,0.327,5.1,4.28,13.7,81.4
137,오영수,24 1B,80.8,17.6,5.9,0.33,0.136,0.3,0.065,0.108,0.322,3.7,3.95,11.9,80.8
138,김민성,24 3B,79.9,21.4,11.9,0.56,0.235,0.157,0.121,0.109,0.324,9.2,4.21,13.3,79.9
139,이학주,24 SS,79.9,41.9,5.7,0.14,0.469,0.126,0.057,0.111,0.326,11.7,4.31,13.8,79.9
140,김건희,24 C,79.2,29.0,6.4,0.22,0.333,0.161,0.043,0.103,0.317,29.2,3.84,11.3,79.2
141,손아섭,24 DH,78.3,18.3,4.5,0.25,0.332,0.111,0.029,0.103,0.317,36.6,4.0,12.1,78.3
142,홍현빈,24 RF,78.0,31.8,13.6,0.43,0.364,0.111,0.111,0.108,0.322,2.4,4.26,13.6,78.0
143,전병우,24 3B,77.9,32.8,10.9,0.33,0.303,0.18,0.088,0.11,0.325,14.1,4.13,12.9,77.9
144,구본혁,24 SS,77.6,13.1,9.8,0.75,0.293,0.07,0.078,0.101,0.315,39.4,3.92,11.8,77.6
145,박민,24 SS,77.5,23.3,3.3,0.14,0.364,0.138,0.024,0.105,0.319,3.2,3.87,11.5,77.5
146,류지혁,24 2B,76.0,20.1,9.5,0.47,0.325,0.067,0.083,0.106,0.32,36.3,4.05,12.5,76.0
147,심우준,24 SS,75.5,15.1,8.9,0.59,0.307,0.077,0.071,0.105,0.319,20.1,4.08,12.6,75.5
148,박지환,24 2B,75.2,24.5,4.8,0.2,0.355,0.11,0.041,0.106,0.32,25.9,3.95,11.9,75.2
149,황대인,24 1B,74.4,14.3,0.0,0.0,0.333,0.143,0.0,0.1,0.314,0.7,3.79,11.0,74.4
150,하재훈,24 RF,73.9,28.4,5.7,0.2,0.318,0.169,0.044,0.102,0.316,32.1,3.73,10.8,73.9
151,박수종,24 CF,73.8,11.5,8.8,0.76,0.295,0.054,0.077,0.097,0.31,14.3,3.71,10.6,73.8
152,고영우,24 3B,73.5,24.5,9.7,0.39,0.35,0.063,0.073,0.094,0.308,27.4,3.68,10.5,73.5
153,이도윤,24 SS,72.4,15.0,7.0,0.46,0.326,0.056,0.055,0.098,0.312,36.6,3.79,11.1,72.4
154,황재균,24 3B,72.2,17.7,6.3,0.36,0.297,0.123,0.049,0.099,0.313,53.2,3.64,10.3,72.2
155,김범석,24 DH,71.7,27.2,7.8,0.29,0.303,0.136,0.065,0.095,0.309,16.7,3.51,9.6,71.7
156,김성욱,24 CF,71.4,19.2,7.5,0.39,0.21,0.176,0.087,0.095,0.308,39.0,3.46,9.4,71.4
157,이지영,24 C,70.1,8.1,4.2,0.51,0.294,0.07,0.041,0.097,0.311,41.7,3.67,10.4,70.1
158,도태훈,24 1B,69.3,16.0,13.3,0.83,0.263,0.027,0.131,0.092,0.305,16.6,3.58,10.0,69.3
