,ID,Name,Team,TBF,AVG,OBP,SLG,K%,BB%,Pit_side
270,13169,최이준,LG Twins,126,0.385,0.46,0.548,13.5,12.7,Right
271,14674,김동혁,Kiwoom Heroes,102,0.318,0.386,0.647,8.8,9.8,Right
272,10749,이우찬,Lotte Giants,172,0.3,0.427,0.4,18.0,17.4,Left
273,13244,이재익,Hanwha Eagles,58,0.537,0.569,0.704,10.3,6.9,Left
274,12885,문용익,Doosan Bears,99,0.315,0.48,0.452,17.2,22.2,Right
275,13122,윤중현,KIA Tigers,62,0.458,0.548,0.792,6.5,14.5,Right
276,16141,더거,SSG Landers,116,0.366,0.431,0.554,15.5,8.6,Right
277,14621,한승주,Samsung Lions,120,0.433,0.492,0.567,11.7,8.3,Right
278,10217,이용찬,KT Wiz,262,0.353,0.409,0.543,18.7,8.0,Right
279,12847,김명신,NC Dinos,168,0.409,0.44,0.61,14.9,4.8,Right
